article_id,citation,year,title,region,study_context,study_type,main_regeneration_frame,root_terms_present,seed_terms_present,root_term_count_rough,seed_term_count_rough,root_terms_location,seed_terms_location,root_treatment_score,seed_treatment_score,root_framing,seed_framing,root_evidence_type,seed_evidence_type,does_article_assume_suckering,does_article_distinguish_seed_vs_sucker,compares_seed_and_sucker,genetic_validation,physical_validation,main_claim_about_regeneration,important_quote_root,important_quote_seed,page_root,page_seed,relevance_to_thesis,notes
AB_0001,Bellefleur P.; Larocque G. (1983). (Comparison of the growth of woody species in open environments and under shaded conditions).; [Comparaison de la croissance d'especes ligneuses en milieu ouvert en sous couvert forestier.],1983,(Comparison of the growth of woody species in open environments and under shaded conditions).; [Comparaison de la croissance d'especes ligneuses en milieu ouvert en sous couvert forestier.],,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0002,Mulder O.; Sleith R.; Mulder K.; Coe N.R. (2020). A Bayesian analysis of topographic influences on the presence and severity of beech bark disease,2020,A Bayesian analysis of topographic influences on the presence and severity of beech bark disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0003,Arthur M.A.; Weathers K.C.; Lovett G.M.; Weand M.P.; Edd W.C. (2017). A beech bark disease induced change in tree species composition influences forest floor acid-base chemistry,2017,A beech bark disease induced change in tree species composition influences forest floor acid-base chemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0004,"Nagele E.; Ashton M.S.; Harris T.B.; Forrest T.A.; DeLuca E.A.; Martello M.E.; Duguid M.C. (2024). A Century of Change in a Mature Urban Forest: the Thain Family Forest of the New York Botanical Garden, Bronx, New York",2024,"A Century of Change in a Mature Urban Forest: the Thain Family Forest of the New York Botanical Garden, Bronx, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0005,Fearer C.J.; Conrad A.O.; Marra R.E.; Georskey C.; Villari C.; Slot J.; Bonello P. (2022). A combined approach for early in-field detection of beech leaf disease using near-infrared spectroscopy and machine learning,2022,A combined approach for early in-field detection of beech leaf disease using near-infrared spectroscopy and machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0006,"Clatterbuck W.K. (1996). A community classification system for forest evaluation: Development, validation, and extrapolation",1996,"A community classification system for forest evaluation: Development, validation, and extrapolation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0007,Leadbitter P.; Euler D.; Naylor B. (2002). A comparison of historical and current forest cover in selected areas of the Great Lakes - St. Lawrence Forest of central Ontario,2002,A comparison of historical and current forest cover in selected areas of the Great Lakes - St. Lawrence Forest of central Ontario,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0008,Rudolph A.J.; Snell R.S.; McCarthy B.C. (2024). A decades-long case study: Understanding the effects of mesophication on the forest community with emphasis on Carya spp. dynamics,2024,A decades-long case study: Understanding the effects of mesophication on the forest community with emphasis on Carya spp. dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0009,Arnold W.; Gewirtzman J.; Raymond P.A.; Duguid M.C.; Brodersen C.R.; Brown C.; Norbraten N.; Wood Q.T.V.; Bradford M.A.; Peccia J. (2025). A diverse and distinct microbiome inside living trees,2025,A diverse and distinct microbiome inside living trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0010,"Morrison E.W.; Duong T.A.; Garnas J.R. (2024). A high-quality draft genome sequence of Neonectria faginata, causative agent of beech bark disease of Fagus grandifolia",2024,"A high-quality draft genome sequence of Neonectria faginata, causative agent of beech bark disease of Fagus grandifolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0011,Le Guerrier C.; Marceau D.J.; Bouchard A.; Brisson J. (2003). A modelling approach to assess the long-term impact of beech bark disease in northern hardwood forest,2003,A modelling approach to assess the long-term impact of beech bark disease in northern hardwood forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0012,"Fisk M.C.; Yanai R.D.; Fierer N. (2010). A molecular approach to quantify root community composition in a northern hardwood forest - testing effects of root species, relative abundance, and diameter",2010,"A molecular approach to quantify root community composition in a northern hardwood forest - testing effects of root species, relative abundance, and diameter",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0013,Montoya L.; Bandala V.M.; Haug I.; Stubbe D. (2012). A new species of Lactarius (subgenus gerardii) from two relict Fagus grandifolia var. mexicana populations in Mexican Montane Cloud forests,2012,A new species of Lactarius (subgenus gerardii) from two relict Fagus grandifolia var. mexicana populations in Mexican Montane Cloud forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0014,Myers A.L.; Dickinson Y.L.; Storer A.J.; Bal T.L. (2022). A Pilot Study of Transplanting Methods for Wilding American Beech (Fagus grandifolia),2022,A Pilot Study of Transplanting Methods for Wilding American Beech (Fagus grandifolia),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0015,Cale J.A.; Teale S.A.; West J.L.; Zhang L.I.; Castello D.R.; Devlin P.; Castello J.D. (2014). A quantitative index of forest structural sustainability,2014,A quantitative index of forest structural sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0016,"Allen C.M.; Thames S.; Trichell S.; White J. (2004). A quantitative study of the vegetation surrounding yellow lady-slipper orchid (Cypripedium kentuckiense, Orchidaceae) populations at Fort Polk in west central Louisiana",2004,"A quantitative study of the vegetation surrounding yellow lady-slipper orchid (Cypripedium kentuckiense, Orchidaceae) populations at Fort Polk in west central Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0017,"Teskey R.O.; Shrestha R.B. (1985). A relationship between carbon dioxide, photosynthetic efficiency and shade tolerance",1985,"A relationship between carbon dioxide, photosynthetic efficiency and shade tolerance",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0018,"Williams-Linera G.; Devall M.S.; Alvarez-Aquino C. (2000). A relict population of Fagus grandifolia var. mexicana at the Acatlan Volcano, Mexico: Structure, litterfall, phenology and dendroecology",2000,"A relict population of Fagus grandifolia var. mexicana at the Acatlan Volcano, Mexico: Structure, litterfall, phenology and dendroecology",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0019,Myers A.L.; Storer A.J.; Dickinson Y.L.; Bal T.L. (2023). A Review of Propagation and Restoration Techniques for American Beech and Their Current and Future Application in Mitigation of Beech Bark Disease,2023,A Review of Propagation and Restoration Techniques for American Beech and Their Current and Future Application in Mitigation of Beech Bark Disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0020,Koch J.L.; Carey D.W. (2014). A technique to screen American beech for resistance to the beech scale insect (Cryptococcus fagisuga Lind.),2014,A technique to screen American beech for resistance to the beech scale insect (Cryptococcus fagisuga Lind.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0021,Bose A.K.; Weiskittel A.; Wagner R.G. (2017). A three decade assessment of climate-associated changes in forest composition across the north-eastern USA,2017,A three decade assessment of climate-associated changes in forest composition across the north-eastern USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0022,Elias J.M.; Stoleson S.H. (2021). Abundant Natural Cavities in a Deciduous Forest Leads to a Lack of Nest-Box Occupancy by Northern Saw-Whet Owls,2021,Abundant Natural Cavities in a Deciduous Forest Leads to a Lack of Nest-Box Occupancy by Northern Saw-Whet Owls,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0023,Darley-Hill S.; Johnson W.C. (1981). Acorn dispersal by the blue jay (Cyanocitta cristata),1981,Acorn dispersal by the blue jay (Cyanocitta cristata),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0024,Schroeder B.; Buddle C.M.; Saint-Germain M. (2009). Activity of flying beetles (coleoptera) at two heights in canopy gaps and intact forests in a hardwood forest in Quebec,2009,Activity of flying beetles (coleoptera) at two heights in canopy gaps and intact forests in a hardwood forest in Quebec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0025,Pernek M.; Lacković N.; Mačak-Hadžiomerović A.; Stamenković V. (2013). Adapted VTA and SIA method in tree static assessment with use of resistography,2013,Adapted VTA and SIA method in tree static assessment with use of resistography,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0026,"Flinn K.M.; Marks P.L. (2007). Agricultural legacies in forest environments: Tree communities, soil properties, and light availability",2007,"Agricultural legacies in forest environments: Tree communities, soil properties, and light availability",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0027,Weber R.W. (2013). Allergen of the month - European beech,2013,Allergen of the month - European beech,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0028,"Wiggins G.J.; Grant J.F.; Welbourn W.C. (2001). Allothrombium mitchelli (Acari: Trombidiidae) in the Great Smoky Mountains National Park: Incidence, seasonality, and predation on beech scale (Homoptera: Eriococcidae)",2001,"Allothrombium mitchelli (Acari: Trombidiidae) in the Great Smoky Mountains National Park: Incidence, seasonality, and predation on beech scale (Homoptera: Eriococcidae)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0029,Houston D.B.; Houston D.R. (2000). Allozyme genetic diversity among Fagus grandifolia trees resistant or susceptible to beech bark disease in natural populations,2000,Allozyme genetic diversity among Fagus grandifolia trees resistant or susceptible to beech bark disease in natural populations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0030,Montiel-Oscura D.; Ramírez-Herrera C.; Ángeles-Ṕerez G.; López-Upton J.; Antonio-López P. (2013). Allozyme variation and population size of haya Mexicana (Fagus grandifolia subsp. Mexicana) in the sierra madre oriental; [Variación aloenzimática y tamaño de poblaciones de haya Mexicana (Fagus grandifolia subsp. Mexicana) en la sierra madre oriental],2013,Allozyme variation and population size of haya Mexicana (Fagus grandifolia subsp. Mexicana) in the sierra madre oriental; [Variación aloenzimática y tamaño de poblaciones de haya Mexicana (Fagus grandifolia subsp. Mexicana) en la sierra madre oriental],,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0031,Bannon K.; Delagrange S.; Bélanger N.; Messier C. (2015). American beech and sugar maple sapling relative abundance and growth are not modified by light availability following partial and total canopy disturbances,2015,American beech and sugar maple sapling relative abundance and growth are not modified by light availability following partial and total canopy disturbances,,,,,,,,,,,,,,,,,,,,,,,,,,,,
