# File generated at 2026-01-29 23:29:25 CST
# Generated by StructureSelector
# http://lmme.qdio.ac.cn/StructureSelector/
# https://lmme.ac.cn/StructureSelector/        
# Contact: Yulong Li <liyulong12@mails.ucas.ac.cn>
# Citation: Li YL, Liu JX (2018) StructureSelector: A web based software to select and visualize the optimal number of 
# clusters using multiple methods.Molecular Ecology Resources, 18:176–177.
#
# Puechmaille Method:
# Citation:
# Puechmaille SJ (2016) The program structure does not reliably recover the correct population structure 
# when sampling is uneven: subsampling and new estimators alleviate the problem. Molecular Ecology Resources, 16: 608-627.
K	MedMed	MedMean	MaxMed	MaxMean	Reps
1	1	1	1	1	10
2	2	2	2	2	10
3	3	3	3	3	10
4	4	4	4	4	10
5	5	5	5	5	10
6	5	5	6	6	10
7	6	6	7	7	10
8	7	7	8	8	10
9	7	7	7	7	10
10	6	6	7	7	9
11	6	5	6	6	10
12	5	5	6	5	10
	MedMedK	MedMeaK	MaxMedK	MaxMeaK
ALL	7	7	8	8
