"f_file","q_file","K_detected","n_inds","K_from_name","ok","fail_reason"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-1_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-1_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-10_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-10_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-2_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-2_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-3_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-3_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-4_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-4_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-5_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-5_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-6_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-6_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-7_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-7_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-8_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-8_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-9_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-9_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-1_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-1_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-2_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-2_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-3_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-3_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-4_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-4_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-5_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-5_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-6_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-6_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-7_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-7_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-8_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-8_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-9_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-9_f.Q",10,278,10,TRUE,"ok"
